Collision altitude [m],#Fragments [-],T_0 [days],SC Altitude Offset [m],Target Fraction [-],FoV [deg],Range [m],Incidence Angle [deg],Ablation Time [s],Scan Time [s],Cooldown Time [s],Fluence [J/m^2],Removal Altitude [m],Time Required [days],Fraction removed [-]
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,35.0,5.0,70.0,8500.0,340000.0,630.3756944444444,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,300000.0,20.0,25.0,5.0,70.0,8500.0,340000.0,724.9997685185185,0.48239573859945434
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,90.0,5.0,70.0,8500.0,340000.0,724.9997106481482,0.4978130007362176
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,25.0,5.0,70.0,8500.0,340000.0,724.9997685185185,0.4752934043566758
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,90.0,5.0,70.0,8500.0,340000.0,724.9992476851852,0.4919232601446451
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,25.0,5.0,70.0,8500.0,340000.0,724.9997685185185,0.47135247499025595
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,90.0,5.0,70.0,8500.0,340000.0,724.9994791666667,0.4865532025464467
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,30.0,5.0,70.0,8500.0,340000.0,724.9998842592593,0.4946515958598588
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,25.0,5.0,70.0,8500.0,340000.0,724.9998842592593,0.4670650902949201
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,90.0,5.0,70.0,8500.0,340000.0,724.9996527777778,0.48018708587761466
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,85.0,5.0,70.0,8500.0,340000.0,724.9994212962963,0.4867697371270192
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,30.0,5.0,70.0,8500.0,340000.0,724.9998842592593,0.490537438828981
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,275000.0,20.0,25.0,5.0,70.0,8500.0,340000.0,724.9998842592593,0.46264778485124075
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,90.0,5.0,70.0,8500.0,340000.0,724.998900462963,0.4747304144471872
